,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,negLogP,signif
ENSMUSG00000025534,558.065097502549,0.588783234298812,0.114379334130267,5.14763649199289,2.63789050479279e-07,0.00228538612341106,2.64104041393113,TRUE
ENSMUSG00000027848,776.183121751756,0.707353077219645,0.153397564871315,4.61124058790009,4.00272946129846e-06,0.0118023337258857,1.92803210929866,TRUE
ENSMUSG00000030579,618.933235341223,0.797475208586071,0.146498465477091,5.44357380119301,5.22220827848569e-08,0.00107786378867945,2.96743611814978,TRUE
ENSMUSG00000047632,174.1325374019,0.898094396823618,0.181555057806136,4.9466779261121,7.54907259589838e-07,0.00311625716758685,2.50636670958249,TRUE
ENSMUSG00000050370,52.5469333562245,1.38326990067919,0.271903561605152,5.08735484196386,3.63092097969519e-07,0.00228538612341106,2.64104041393113,TRUE
ENSMUSG00000056999,1418.62729647419,0.663090928074602,0.131317422123842,5.04952745302339,4.42904287482763e-07,0.00228538612341106,2.64104041393113,TRUE
ENSMUSG00000068129,646.279186999679,0.953087296958275,0.194988827608386,4.8879072131889,1.01913539785992e-06,0.00350582576863813,2.45520967112849,TRUE
