"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000001",770.63415993699,0.160984592037506,0.0849345191198508,1.8953965208226,0.05803988928822,0.372097525244688
"ENSMUSG00000000028",32.8149854124325,0.250050851512909,0.197509790351853,1.26601750256257,0.205506816074566,NA
"ENSMUSG00000000037",19.5209510864251,-0.249462076210188,0.294309160346384,-0.8476191360017,0.396650113708724,NA
"ENSMUSG00000000049",5.5411977747802,0.468423169416075,0.680529286660492,0.688321838013367,0.49125013259986,NA
"ENSMUSG00000000056",912.795121476521,-0.0667568072292247,0.0892067353978869,-0.748338193651754,0.45425619246067,0.823321150640795
"ENSMUSG00000000058",728.732845075221,0.102907158757036,0.135009463066513,0.762221820749991,0.44592762479883,0.818989246469106
"ENSMUSG00000000078",711.015593421336,0.0755609888036643,0.076586944344906,0.986604041328228,0.323836788271618,0.738175192384385
"ENSMUSG00000000085",711.244879028141,-0.171119068810124,0.0824447747990709,-2.07555990330697,0.0379346731340101,0.314351094569714
"ENSMUSG00000000088",1902.71978405271,0.0573761356409887,0.113242121374595,0.506667792377302,0.612387932776326,0.891433887609725
"ENSMUSG00000000093",57.8360140812682,0.0727607079588506,0.178434948161953,0.407771620460869,0.683441350662786,0.915254356163062
"ENSMUSG00000000120",52.0360996258181,0.285505602584732,0.198329079548708,1.43955492172097,0.149993360941216,0.557230660614188
"ENSMUSG00000000125",40.1215142600292,-0.0141586379158241,0.254406162398266,-0.0556536751403809,0.955617704149563,NA
"ENSMUSG00000000126",120.662549989916,-0.0761176400782622,0.212415337860254,-0.358343426821369,0.720086323026183,0.927403695303687
"ENSMUSG00000000127",248.059864972782,-0.0445148341815795,0.122126840288181,-0.364496732057738,0.71548711365382,0.926056488099659
"ENSMUSG00000000131",1665.20488844829,-0.0856840305404818,0.0700597487707604,-1.22301367110015,0.221324532768272,0.648283969080779
"ENSMUSG00000000134",626.517260360157,0.0272888917958416,0.0694625977622403,0.392857345894941,0.694424846862165,0.919724162314424
"ENSMUSG00000000142",450.730698851127,-0.140372015129319,0.115084308782753,-1.21973200876848,0.222566483312675,0.64949016936297
