"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000001",777.053896322335,0.351720157626114,0.118285194469357,2.97349266071699,0.00294431447866573,0.0290204389325419
"ENSMUSG00000000028",34.7005925517297,0.0718613051562005,0.293963603470027,0.244456471168301,0.806877310381279,0.914187569396697
"ENSMUSG00000000031",3.1512964856073,2.21820128054357,1.22572232813384,1.80970945019886,0.0703408562554084,0.238692137671209
"ENSMUSG00000000037",18.7673094866677,-0.980817743944887,0.402433587366969,-2.43721641218407,0.0148008184900121,0.0882968270814838
"ENSMUSG00000000049",5.931744890118,0.518374598177067,1.0694734663121,0.484700756498984,0.627888629795241,0.818062972741591
"ENSMUSG00000000056",948.796019283612,0.054826283441548,0.111068826859217,0.493624403821621,0.621571462694709,0.814086698219401
"ENSMUSG00000000058",725.386392902524,0.322705132124274,0.151704348144734,2.12719764509581,0.0334036647231447,0.149742908217784
"ENSMUSG00000000078",695.633339406329,0.130555769879353,0.113458969241978,1.15068707878803,0.249860994183769,0.501210918272669
"ENSMUSG00000000085",713.279673729785,-0.306239338003625,0.116464300296376,-2.62946960763352,0.00855181756548029,0.0606882585001105
"ENSMUSG00000000088",1864.38227084764,0.143578736899531,0.134694164020177,1.06596108260506,0.286441234758916,0.542194289148221
"ENSMUSG00000000093",60.4774921361774,0.00900528447038531,0.25966418546305,0.0346805026435452,0.972334508210613,0.988273601629362
"ENSMUSG00000000094",2.42272866997707,-0.004137294448499,1.25948532238326,-0.00328490882344719,0.997379026679784,NA
"ENSMUSG00000000120",59.4343884497429,0.332774840129291,0.259725985355478,1.28125354755641,0.200104623295954,0.444828424082421
"ENSMUSG00000000125",40.5826253906577,0.188396031752402,0.343871931366446,0.547866849741912,0.583783332626804,0.791340104027357
"ENSMUSG00000000126",123.73507734883,-0.556789925150988,0.27122928339108,-2.05283853642073,0.0400882396966218,0.168087650849677
"ENSMUSG00000000127",261.442134625891,0.0857408564143177,0.153010865303012,0.560357960492038,0.575235300337103,0.786210989817539
"ENSMUSG00000000131",1688.98672517203,-0.100943502082246,0.0879644131089337,-1.14754931584934,0.251154663444895,0.502687507132622
"ENSMUSG00000000134",645.869309899016,0.0563143125779527,0.0934699951846277,0.60248545500315,0.546851042171388,0.767006328836598
"ENSMUSG00000000142",497.946199803667,-0.440578323074384,0.139681432549726,-3.15416526758157,0.00160957906703959,0.0185672431797282
"ENSMUSG00000000148",370.10750266509,-0.175932764568312,0.107159498360018,-1.64178413729821,0.100634747594432,0.298776548552503
"ENSMUSG00000000149",2689.33501513045,0.360718913056923,0.117289630982918,3.07545441173277,0.00210182057157962,0.0226150878311883
"ENSMUSG00000000154",20.2665787718105,0.919114828089773,0.559742788525222,1.64203067360886,0.100583647416711,0.298709796197421
"ENSMUSG00000000159",14.8675035507352,0.259550088633968,0.558688793519656,0.464570064129694,0.642239374170328,0.826914468749432
"ENSMUSG00000000167",35.4612029844395,0.520513778588486,0.357948733734985,1.45415734023481,0.145902689200687,0.369902281680402
"ENSMUSG00000000168",2226.94813653986,0.143375677904948,0.0946742540504817,1.51441043125091,0.129921775252698,0.345917598334511
"ENSMUSG00000000171",1249.22233207327,0.17986687941783,0.128040998581291,1.40476004881855,0.160092642747331,0.389646482427601
"ENSMUSG00000000182",3.05764205382711,-1.43692051544046,1.135743867738,-1.26518007823569,0.205806782159926,0.451405302325346
"ENSMUSG00000000184",1726.15959211328,0.0896586354780744,0.13335502530454,0.672330384800447,0.501373390310255,0.736052492574603
"ENSMUSG00000000194",1010.82399899905,-0.0427536325940713,0.0852207639619857,-0.501680935565683,0.615891976999388,0.810231581729536
"ENSMUSG00000000197",1994.14494657082,0.0216424314921457,0.123658021504097,0.175018419580881,0.861065160237759,0.939994159244973
"ENSMUSG00000000202",321.71336262134,0.297757554962503,0.183580546719328,1.62194502785602,0.104815119121529,0.305290190618064
"ENSMUSG00000000214",10.737705965279,0.204440830559451,0.556711867740651,0.367229158216349,0.713448091313752,0.867262566930257
"ENSMUSG00000000215",8.20695844955762,0.641308844742887,0.725205943442525,0.884312725980455,0.376527420402776,0.630520150131696
"ENSMUSG00000000216",4.80831951073584,-1.75182714643757,0.801596656459937,-2.18542222241059,0.028857902962946,0.136196396928594
"ENSMUSG00000000223",1190.33463781573,-0.135533797597454,0.123389426617697,-1.09842310895393,0.272019776125836,0.525627617658037
"ENSMUSG00000000244",10.2073898051727,0.363672332929223,0.731018447219252,0.49748721706355,0.618845515029108,0.812339653568808
"ENSMUSG00000000247",1486.32029410411,0.0335613011557291,0.125234805418803,0.267987010827344,0.788709317027869,0.90481535467765
"ENSMUSG00000000253",859.831315915605,0.0456534219986644,0.124998522947874,0.365231691719291,0.714938463334882,0.868022498700086
"ENSMUSG00000000266",516.919824485164,0.256134515191625,0.138499893227277,1.84934810578743,0.0644075636128519,0.226099394234231
"ENSMUSG00000000275",267.95916871997,-0.167962888634716,0.14627697379063,-1.14825241650901,0.250864376319122,0.502361737035496
"ENSMUSG00000000276",1697.03717797436,0.0462174352130572,0.0952511437453409,0.485216590539029,0.627522714721581,0.817832250577436
"ENSMUSG00000000278",363.79060184229,0.328019842153384,0.15328570249273,2.13992457756418,0.0323608625085382,0.146960831547701
"ENSMUSG00000000282",944.85427492916,-0.189542470168859,0.11237471896323,-1.68670028203479,0.0916609978431025,0.281393448585022
"ENSMUSG00000000290",341.882989320331,0.408809365246612,0.177548244354777,2.3025255289471,0.0213055534436954,0.112009402722936
"ENSMUSG00000000295",156.558124455546,0.0965839387966405,0.180938466888185,0.53379439130722,0.593483794635285,0.797938456847158
"ENSMUSG00000000296",451.822453253452,0.271159791615558,0.148772642870499,1.82264552395962,0.0683570959940031,0.234494230270813
"ENSMUSG00000000301",28.7149012910727,0.104801307325659,0.401021178057678,0.261336091608074,0.793833336266173,0.907127064727129
"ENSMUSG00000000303",22.8069379008052,1.04813165215272,0.496052493703604,2.11294503194049,0.0346054729221457,0.153073475311128
"ENSMUSG00000000305",211.451382631516,0.0615231994716053,0.19550593591252,0.314687117730963,0.752999226258872,0.885921993741472
"ENSMUSG00000000308",2877.94426337724,0.0988546575468414,0.109223052870856,0.905071364959244,0.365427581077847,0.620412809408471
"ENSMUSG00000000317",37.4631105461927,-0.0164079779677675,0.307480754073623,-0.0533626178236795,0.957442989409516,0.982499423474229
"ENSMUSG00000000318",11.1737856747795,0.533967221930477,0.631265587915564,0.845867780776129,0.397626508057658,0.648258631583566
"ENSMUSG00000000320",14.4761066586081,-0.0840039570441377,0.416968199481686,-0.201463701904747,0.840336009197882,0.930382001037034
"ENSMUSG00000000326",1408.37992502434,0.189138126124777,0.112016830415553,1.68847953850438,0.0913192135279041,0.280820206129081
"ENSMUSG00000000339",732.062613939365,-0.00638115881433498,0.126623764853287,-0.0503946381765579,0.959807909074628,0.983204401886387
"ENSMUSG00000000340",480.15434869889,0.371203019889581,0.125242762760018,2.96386802486029,0.00303798547838184,0.0296345476286008
"ENSMUSG00000000346",2456.58413917432,0.330703409376837,0.110571197137843,2.99086396762592,0.00278189388340056,0.027722529653717
"ENSMUSG00000000355",514.341764839748,0.15374223673861,0.132142751114553,1.16345569803774,0.244644662617925,0.495609020931413
