"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000001",766.141088490174,-0.00849270115934708,0.110427561155289,-0.0769074411360424,0.938697177911952,0.99996136497536
"ENSMUSG00000000028",31.196523849613,0.416167449287356,0.307698524520757,1.35251688299624,0.176210021607306,0.99996136497536
"ENSMUSG00000000031",2.0064905465697,0.485188114686425,1.65212070684359,0.293675947935661,0.769005535046769,0.99996136497536
"ENSMUSG00000000037",20.187492944484,0.36127807109603,0.400015403994346,0.90316039704595,0.366440773065366,0.99996136497536
"ENSMUSG00000000049",5.20785025035011,0.4176048577866,0.865079330999395,0.482735909669876,0.629283262524332,0.99996136497536
"ENSMUSG00000000056",882.290999119194,-0.175235405929035,0.137726419839541,-1.27234415977119,0.203250864914435,0.99996136497536
"ENSMUSG00000000058",732.766209299128,-0.0917651219069021,0.19603166481695,-0.468113771275626,0.639703231630981,0.99996136497536
"ENSMUSG00000000078",725.562111723742,0.0279346803142884,0.118744269038521,0.235250766546268,0.814014105407687,0.99996136497536
"ENSMUSG00000000085",710.390869450622,-0.0502194614773428,0.118760564488383,-0.422863108589008,0.672395140221477,0.99996136497536
"ENSMUSG00000000088",1940.050313294,-0.0175653979710609,0.173953118518534,-0.100977769876482,0.919568107031763,0.99996136497536
"ENSMUSG00000000093",55.5359700184321,0.131780473400432,0.266941460723164,0.493668061317374,0.621540624921625,0.99996136497536
"ENSMUSG00000000094",2.61405623954895,-0.105989315616657,1.19227599788224,-0.0888966277983611,0.929164063570188,0.99996136497536
"ENSMUSG00000000120",45.5688244332315,0.240424433921221,0.316487726783467,0.75966432052423,0.44745526113323,0.99996136497536
"ENSMUSG00000000125",39.7791132400554,-0.195152882507063,0.369879941382581,-0.527611423797673,0.597769062450888,0.99996136497536
"ENSMUSG00000000126",118.11485153486,0.347089491395038,0.262068777478809,1.32442137798389,0.185363138550539,0.99996136497536
"ENSMUSG00000000127",236.62754830312,-0.161483383039382,0.188476529961008,-0.856782449638633,0.391565126784875,0.99996136497536
