,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,negLogP,signif
ENSMUSG00000000290,311.707599903985,0.48114398235805,0.123211333722687,3.90503022587975,9.4213608778268e-05,0.0249239435600018,1.60338324087128,TRUE
ENSMUSG00000001761,476.919847238662,0.318036364340098,0.0780351737892952,4.07555143272745,4.59054342210877e-05,0.0179497591945177,1.74594137333601,TRUE
ENSMUSG00000002111,153.218074721376,0.624113053515509,0.138301334033158,4.51270450772281,6.40061679814421e-06,0.00560894050792374,2.2511191663762,TRUE
ENSMUSG00000002602,1245.83448340382,0.41265315063391,0.0867877643636697,4.75473880056128,1.98703147683541e-06,0.00260103619252955,2.58485360470282,TRUE
ENSMUSG00000005142,1596.88326568543,0.338493481574784,0.0852722766178555,3.96956074119764,7.20052500577944e-05,0.022090557057573,1.65579333238661,TRUE
ENSMUSG00000006519,246.567474508298,0.524751999604438,0.116715544876234,4.49599065969223,6.92467761150003e-06,0.00571122969357894,2.24327037307847,TRUE
ENSMUSG00000007041,257.803400778347,0.560655450403032,0.118048622857549,4.74936036381876,2.04061037856251e-06,0.00260103619252955,2.58485360470282,TRUE
ENSMUSG00000007097,19960.6373121995,0.278271784409998,0.0614593600834416,4.52773644294696,5.96188752550079e-06,0.00560894050792374,2.2511191663762,TRUE
ENSMUSG00000007872,702.939796198109,0.392979433473361,0.0954079267339647,4.11893903290807,3.806208252004e-05,0.01721511158108,1.76409015803684,TRUE
ENSMUSG00000007891,18906.2948144861,0.515766631879181,0.102343039771271,5.03958679585716,4.66538012145949e-07,0.000934475638328336,3.02943201614442,TRUE
ENSMUSG00000008398,246.565167397603,0.413005498948684,0.1018267240586,4.05596372432647,4.99280086003987e-05,0.0179497591945177,1.74594137333601,TRUE
ENSMUSG00000015852,1198.13895423715,0.439003504651729,0.101532372202767,4.32377866415854,1.5337918288113e-05,0.00896053967990133,2.04766583264314,TRUE
ENSMUSG00000016256,1588.95330428594,0.536414475866974,0.121954614957527,4.39847623686722,1.09013560088881e-05,0.00804462697898003,2.09449408888334,TRUE
ENSMUSG00000018774,499.910633764994,0.725116559536266,0.133789422726183,5.41983472804357,5.96541580025326e-08,0.000209102737338377,3.67964028184913,TRUE
ENSMUSG00000018927,270.771654220614,0.439576143296579,0.120678606074035,3.64253580313071,0.000269965414519065,0.0414012382765035,1.38298666929914,TRUE
ENSMUSG00000020101,906.63827360766,0.413808877576856,0.1096456828351,3.7740553652185,0.000160615091219178,0.0313916277076887,1.5031861648307,TRUE
ENSMUSG00000020932,20320.7526388135,0.534694175738088,0.103176107695611,5.18234490213119,2.19113551714885e-07,0.00061443822171888,3.21152177643147,TRUE
ENSMUSG00000021098,104.04287017571,-0.973895223014909,0.270067040812654,-3.60612394642596,0.000310804726099226,0.0427551958170158,1.36901110017459,TRUE
ENSMUSG00000021190,2494.5955977794,0.339706109281711,0.0802160661089259,4.23488866707103,2.28664967158708e-05,0.0118744870538231,1.92538514166146,TRUE
ENSMUSG00000021242,1733.88888190315,0.382262618735358,0.101821323239608,3.75424917466268,0.000173861845305209,0.0328987874656264,1.48282010833245,TRUE
ENSMUSG00000021423,576.018286021461,0.553266038881454,0.137026057769488,4.03767026423678,5.39846608092009e-05,0.0189229732301451,1.72301062501683,TRUE
ENSMUSG00000021665,5450.22912294918,0.487237063440778,0.118934763171642,4.09667493714699,4.19126786217788e-05,0.0178078080895746,1.74938953327037,TRUE
ENSMUSG00000021702,377.416907248833,0.728837829315696,0.179114057905417,4.06912688952961,4.7189643441359e-05,0.0179497591945177,1.74594137333601,TRUE
ENSMUSG00000021998,357.617371713048,0.401001287629036,0.100205133499665,4.00180383603177,6.28614060183634e-05,0.0204972040414761,1.68830537563557,TRUE
ENSMUSG00000022488,370.924426284123,0.368085725918209,0.097323426323732,3.78208762085529,0.000155518597000146,0.0311503749791292,1.50653672106303,TRUE
ENSMUSG00000022505,537.191750990493,0.325780750671601,0.0842312185931457,3.86769604088467,0.00010986849409611,0.0252535435364189,1.59767767376958,TRUE
ENSMUSG00000022817,1947.58800606762,0.462535600458233,0.0960044035283526,4.81785817586622,1.45107450481902e-06,0.0022606128480075,2.64577380845111,TRUE
ENSMUSG00000023921,832.83754075926,0.276560179358483,0.0775822983827849,3.56473300125703,0.00036422676925957,0.0477273227269947,1.32123292677986,TRUE
ENSMUSG00000023992,1153.6452181565,0.462968260194268,0.119340736121087,3.87938163649775,0.000104722343507298,0.0252535435364189,1.59767767376958,TRUE
ENSMUSG00000024621,3320.94074927443,0.387423298921516,0.103986099020499,3.72572202025909,0.000194756942292172,0.0343994016614168,1.4634491114228,TRUE
ENSMUSG00000024737,156.057155240435,0.572728566177965,0.15742331029247,3.63814332905285,0.000274610595514929,0.0414012382765035,1.38298666929914,TRUE
ENSMUSG00000024900,653.084515652004,0.482665773550333,0.124493933647796,3.87702243320414,0.000105742611821135,0.0252535435364189,1.59767767376958,TRUE
ENSMUSG00000025232,1734.56350506275,0.322543550317488,0.076824444600027,4.19844949087175,2.6874877937256e-05,0.0129935401226988,1.88627250818082,TRUE
ENSMUSG00000025351,1715.60996723617,0.404200181827552,0.110501677775929,3.65786465837354,0.000254325273774059,0.0411629303503402,1.38549371579292,TRUE
ENSMUSG00000025534,577.418893021606,0.46817220562484,0.079030419055946,5.92394942627621,3.14300151659898e-09,2.20340121321172e-05,4.65690641577751,TRUE
ENSMUSG00000025812,405.633634773876,0.275151006859617,0.0734266661987355,3.74728993026726,0.000178755429915774,0.0329780247743298,1.48177536007108,TRUE
